
#ALUMNO: ANGEL, GINER VIDAL
#EJERCICIO 3.8


Para un valor de 0.0000001 como distancia mínima de desplazamiento antes de considerarse la k como solución, obtenemos 2 k:

k= 0.49999999999999956, con un máximo de 2 iteraciones, se detiene el punto (0.9999999999999982, 1.0)

('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 98, ' Punto(', 0.9998067148240946, 0.9996057041205607)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 99, ' Punto(', 0.9998067993962039, 0.999605876629156)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 100, ' Punto(', 0.9998068830859465, 0.99960604733793)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 101, ' Punto(', 0.9998069659111735, 0.9996062162832947)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 102, ' Punto(', 0.9998070478892034, 0.9996063835005757)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 103, ' Punto(', 0.9998071290368431, 0.999606549024055)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 104, ' Punto(', 0.9998072093704077, 0.9996067128870112)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 105, ' Punto(', 0.9998072889057392, 0.9996068751217585)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 106, ' Punto(', 0.9998073676582251, 0.9996070357596833)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 107, ' Punto(', 0.9998074456428149, 0.9996071948312794)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 108, ' Punto(', 0.9998075228740371, 0.9996073523661809)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 109, ' Punto(', 0.9998075993660144, 0.9996075083931951)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 110, ' Punto(', 0.9998076751324788, 0.9996076629403319)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 111, ' Punto(', 0.9998077501867859, 0.9996078160348333)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 112, ' Punto(', 0.9998078245419282, 0.9996079677032012)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 113, ' Punto(', 0.9998078982105485, 0.9996081179712236)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 114, ' Punto(', 0.9998079712049519, 0.9996082668640003)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 115, ' Punto(', 0.999808043537118, 0.9996084144059665)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 116, ' Punto(', 0.9998081152187122, 0.9996085606209166)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 117, ' Punto(', 0.9998081862610961, 0.9996087055320261)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 118, ' Punto(', 0.9998082566753387, 0.9996088491618725)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 119, ' Punto(', 0.9998083264722256, 0.9996089915324564)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 120, ' Punto(', 0.9998083956622691, 0.9996091326652199)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 121, ' Punto(', 0.9998084642557168, 0.9996092725810661)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 122, ' Punto(', 0.999808532262561, 0.9996094113003766)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 123, ' Punto(', 0.9998085996925465, 0.9996095488430287)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 124, ' Punto(', 0.9998086665551793, 0.9996096852284119)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 125, ' Punto(', 0.9998087328597335, 0.9996098204754436)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 126, ' Punto(', 0.9998087986152594, 0.9996099546025842)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 127, ' Punto(', 0.9998088638305905, 0.9996100876278518)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 128, ' Punto(', 0.9998089285143503, 0.9996102195688361)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 129, ' Punto(', 0.9998089926749587, 0.999610350442712)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 130, ' Punto(', 0.9998090563206385, 0.999610480266252)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 131, ' Punto(', 0.9998091194594216, 0.9996106090558392)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 132, ' Punto(', 0.9998091820991547, 0.9996107368274789)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 133, ' Punto(', 0.9998092442475048, 0.9996108635968102)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 134, ' Punto(', 0.9998093059119649, 0.999610989379117)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 135, ' Punto(', 0.9998093670998591, 0.9996111141893385)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 136, ' Punto(', 0.9998094278183475, 0.9996112380420797)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 137, ' Punto(', 0.9998094880744312, 0.9996113609516215)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 138, ' Punto(', 0.9998095478749569, 0.9996114829319293)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 139, ' Punto(', 0.9998096072266215, 0.999611603996663)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 140, ' Punto(', 0.9998096661359762, 0.9996117241591858)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 141, ' Punto(', 0.9998097246094308, 0.9996118434325719)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 142, ' Punto(', 0.9998097826532578, 0.9996119618296158)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 143, ' Punto(', 0.9998098402735961, 0.9996120793628395)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 144, ' Punto(', 0.9998098974764549, 0.9996121960445004)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 145, ' Punto(', 0.9998099542677173, 0.9996123118865985)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 146, ' Punto(', 0.9998100106531439, 0.9996124269008839)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 147, ' Punto(', 0.9998100666383758, 0.9996125410988634)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 148, ' Punto(', 0.9998101222289382, 0.999612654491807)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 149, ' Punto(', 0.9998101774302434, 0.9996127670907546)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 150, ' Punto(', 0.999810232247594, 0.9996128789065223)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 151, ' Punto(', 0.9998102866861858, 0.9996129899497079)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 152, ' Punto(', 0.9998103407511102, 0.9996131002306972)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 153, ' Punto(', 0.9998103944473578, 0.9996132097596693)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 154, ' Punto(', 0.9998104477798201, 0.9996133185466023)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 155, ' Punto(', 0.999810500753293, 0.9996134266012783)
